nouns,noun_tag,verbs,verb_tag,adjectives,adjective_tag,adverbs,adverb_tag,pronouns,pronoun_tag,prepositions,preposition_tag,determiners,determiner_tag,conjunctions,conjunction_tag,numerals,numeral_tag,modals,modal_tag,interjections,interjection_tag,tos,to_tag,wh_determiners,wh_determiner_tag,wh_pronouns,wh_pronoun_tag
Crackers,NNS,Fumbled,VBN,Late,JJ,Here,RB,I,PRP,Down,IN,No,DT,Plus,CC,50,CD,Could,MD,Oh,UH,To,TO,Whatever,WDT,Who,WP
Alondra,NNP,Dodged,VBD,Most,JJS,Tryna,RB,He,PRP,Over,IN,This,DT,But,CC,2Teez,CD,Would,MD,Yes,UH,,,Whoever,WDT,What,WP
Marijuana,NNP,Killed,VBN,Cocaine,JJ,Truthfully,RB,My,PRP$,Bro,IN,That,DT,And,CC,4,CD,Should,MD,Yeah,UH,,,Which,WDT,,
Ha,NNP,Pack,VB,Popular,JJ,Sincerely,RB,She,PRP,As,IN,Both,DT,Or,CC,16,CD,Can,MD,,,,,,,,
Jealous,NNP,Are,VBP,Real,JJ,Enough,RB,Yep,PRP$,Cause,IN,Any,DT,,,3,CD,Will,MD,,,,,,,,
Chains,NNS,Turn,VB,Additional,JJ,Obviously,RB,Its,PRP$,Without,IN,A,DT,,,12,CD,,,,,,,,,,
Beatin,NNP,Wicked,VBN,Deep,JJ,Alright,RB,You,PRP,Bet,IN,The,DT,,,90,CD,,,,,,,,,,
Nobody,NN,Walk,VB,Palisade,JJ,Constantly,RB,Your,PRP$,For,IN,Another,DT,,,11,CD,,,,,,,,,,
Blue,NNP,Going,VBG,Clich,JJ,Down,RB,Y,PRP$,Been,IN,Some,DT,,,Five,CD,,,,,,,,,,
Everybody,NN,Adjourning,VBG,Sour,JJ,Up,RB,Our,PRP$,Because,IN,An,DT,,,10,CD,,,,,,,,,,
County,NNP,Avoiding,VBG,Small,JJ,As,RB,We,PRP,Since,IN,Every,DT,,,Twenty,CD,,,,,,,,,,
Stay,NNP,Institutionalized,VBN,Top,JJ,Strong,RB,Her,PRP$,So,IN,All,DT,,,14,CD,,,,,,,,,,
Forecastin,NNP,Get,VB,Slow,JJ,Right,RB,They,PRP,Find,IN,These,DT,,,30,CD,,,,,,,,,,
Zeroes,NNS,Uneducated,VBN,Solar,JJ,So,RB,It,PRP,Of,IN,,,,,9,CD,,,,,,,,,,
Gun,NNP,Wonder,VB,Dead,JJ,Where,WRB,His,PRP$,Through,IN,,,,,15,CD,,,,,,,,,,
Ain,NNP,Called,VBN,Nappy,JJ,X,RB,,,That,IN,,,,,one,CD,,,,,,,,,,
Beauty,NN,Take,VB,Harsh,JJ,Not,RB,,,Are,IN,,,,,Ten,CD,,,,,,,,,,
Lord,NNP,Abusing,VBG,Electorial,JJ,When,WRB,,,Within,IN,,,,,Hundred,CD,,,,,,,,,,
Hundred,NNP,Scared,VBN,Republican,JJ,Even,RB,,,Remind,IN,,,,,24,CD,,,,,,,,,,
Mothafucka,NNP,Give,VB,Everyday,JJ,Never,RB,,,Like,IN,,,,,2,CD,,,,,,,,,,
Parmesan,NNP,Clocked,VBD,True,JJ,Sometimes,RB,,,Cross,IN,,,,,6,CD,,,,,,,,,,
Faults,NNS,Say,VB,Presidental,JJ,More,RBR,,,Unless,IN,,,,,Six,CD,,,,,,,,,,
Flash,NN,Mimicking,VBG,Good,JJ,Ever,RB,,,Although,IN,,,,,Seven,CD,,,,,,,,,,
Murder,NN,Depending,VBG,Touch,JJ,Why,WRB,,,At,IN,,,,,Three,CD,,,,,,,,,,
Section,NN,See,VB,Indigenous,JJ,Still,RB,,,Watchin,IN,,,,,One,CD,,,,,,,,,,
YAWK,NNP,Lot,VB,Red,JJ,Straight,RB,,,By,IN,,,,,Eight,CD,,,,,,,,,,
Okay,NNP,Watchin,VB,Different,JJ,Once,RB,,,About,IN,,,,,13,CD,,,,,,,,,,
Thought,NNP,Dusted,VBN,Prevalent,JJ,Clearly,RB,,,Wonderin,IN,,,,,20,CD,,,,,,,,,,
Pots,NNS,Loaded,VBN,Free,JJ,Quickly,RB,,,If,IN,,,,,100K,CD,,,,,,,,,,
Thirty,NNP,Took,VB,Seen,JJ,Really,RB,,,Well,IN,,,,,2015,CD,,,,,,,,,,
Numbers,NNS,Yelling,VBG,Southside,JJ,Almost,RB,,,Trunk,IN,,,,,8,CD,,,,,,,,,,
Seems,NNS,Flagging,VBG,Next,JJ,Exactly,RB,,,Findin,IN,,,,,5,CD,,,,,,,,,,
Matter,NNP,Hold,VB,Been,JJ,First,RB,,,While,IN,,,,,Two,CD,,,,,,,,,,
Shut,NNP,Cry,VB,Last,JJ,Only,RB,,,Though,IN,,,,,7,CD,,,,,,,,,,
Rip,NNP,Is,VBZ,Trial,JJ,Shout,RB,,,Between,IN,,,,,1987,CD,,,,,,,,,,
Room,NNP,Illuminated,VBN,Seventeen,JJ,Already,RB,,,Was,IN,,,,,,,,,,,,,,,,
Fall,NN,Pull,VB,Double,JJ,Evidently,RB,,,Wear,IN,,,,,,,,,,,,,,,,
Thats,NNS,Do,VBP,Quid,JJ,Okay,RB,,,With,IN,,,,,,,,,,,,,,,,
Friend,NN,Yeah,VB,Federal,JJ,Usually,RB,,,TDE,IN,,,,,,,,,,,,,,,,
Sponsors,NNS,Had,VBD,Other,JJ,Finally,RB,,,From,IN,,,,,,,,,,,,,,,,
Pacin,NNP,Make,VB,Ridiculous,JJ,Too,RB,,,Bitch,IN,,,,,,,,,,,,,,,,
Act,NNP,Smoking,VBG,Technical,JJ,Well,RB,,,Sound,IN,,,,,,,,,,,,,,,,
Landlord,NNP,Reporting,VBG,Finish,JJ,Back,RB,,,Until,IN,,,,,,,,,,,,,,,,
Me,NN,Curse,VB,Little,JJ,Maybe,RB,,,Inside,IN,,,,,,,,,,,,,,,,
Dirty,NNP,Animaniac,VB,Went,JJ,Then,RB,,,Out,IN,,,,,,,,,,,,,,,,
Bompton,NNP,Earthed,VBN,Compulsive,JJ,Honestly,RB,,,Before,IN,,,,,,,,,,,,,,,,
Home,NNP,Damned,VBN,Poetic,JJ,Just,RB,,,Woi,IN,,,,,,,,,,,,,,,,
Ah,NNP,Put,VB,Less,JJR,Lately,RB,,,On,IN,,,,,,,,,,,,,,,,
Diamond,NN,Digging,VBG,Lyrical,JJ,Instead,RB,,,Kept,IN,,,,,,,,,,,,,,,,
Eazy,NNP,Told,VBN,,,Now,RB,,,In,IN,,,,,,,,,,,,,,,,
Him,NNP,Wake,VB,,,Probably,RB,,,,,,,,,,,,,,,,,,,,
Somebody,NN,Doing,VBG,,,Nother,RB,,,,,,,,,,,,,,,,,,,,
Ciara,NNP,Said,VBD,,,Family,RB,,,,,,,,,,,,,,,,,,,,
Fifteen,NNP,Reaping,VBG,,,Rather,RB,,,,,,,,,,,,,,,,,,,,
Racism,NN,Taking,VBG,,,How,WRB,,,,,,,,,,,,,,,,,,,,
Hit,NNP,Start,VB,,,,,,,,,,,,,,,,,,,,,,,,
Destiny,NNP,Putting,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Earl,NNP,Sing,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Wait,NNP,Everything,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Pussy,NNP,Hit,VB,,,,,,,,,,,,,,,,,,,,,,,,
Reminisce,NN,Swallowed,VBD,,,,,,,,,,,,,,,,,,,,,,,,
Tell,NNP,Hope,VBP,,,,,,,,,,,,,,,,,,,,,,,,
Look,NNP,Wait,VB,,,,,,,,,,,,,,,,,,,,,,,,
Pet,NNP,Tell,VB,,,,,,,,,,,,,,,,,,,,,,,,
Guess,NNP,Remember,VB,,,,,,,,,,,,,,,,,,,,,,,,
Pick,NNP,Look,VB,,,,,,,,,,,,,,,,,,,,,,,,
Killin,NNP,Whispered,VBN,,,,,,,,,,,,,,,,,,,,,,,,
House,NNP,Held,VBD,,,,,,,,,,,,,,,,,,,,,,,,
Picture,NN,Pick,VB,,,,,,,,,,,,,,,,,,,,,,,,
Drama,NNP,Knock,VB,,,,,,,,,,,,,,,,,,,,,,,,
Fame,NNP,Misusing,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Painkillers,NNS,Sent,VBD,,,,,,,,,,,,,,,,,,,,,,,,
Pity,NNP,Trying,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Kenny,NNP,Hope,VB,,,,,,,,,,,,,,,,,,,,,,,,
Spinnin,NNP,Loving,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Hope,NNP,Watch,VB,,,,,,,,,,,,,,,,,,,,,,,,
Waitin,NNP,Found,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Born,NNP,Having,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Pi,NNP,Crazy,VB,,,,,,,,,,,,,,,,,,,,,,,,
Lee,NNP,Piss,VB,,,,,,,,,,,,,,,,,,,,,,,,
Hand,NN,Talk,VB,,,,,,,,,,,,,,,,,,,,,,,,
Guarantee,NN,Hands,VBZ,,,,,,,,,,,,,,,,,,,,,,,,
Dismiss,NNP,Asked,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Tryna,NNP,Bumping,VBG,,,,,,,,,,,,,,,,,,,,,,,,
M,NNP,Reverse,VB,,,,,,,,,,,,,,,,,,,,,,,,
Ghetto,NNP,Living,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Nigga,NN,Spoiled,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Ayo,NNP,Leave,VB,,,,,,,,,,,,,,,,,,,,,,,,
Big,NNP,Y,VB,,,,,,,,,,,,,,,,,,,,,,,,
Waaaaay,NNP,Drink,VB,,,,,,,,,,,,,,,,,,,,,,,,
Imagine,NNP,Yo,VB,,,,,,,,,,,,,,,,,,,,,,,,
Alright,NNP,Aiming,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Q,NNP,Grown,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Granny,NNP,Made,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Yah,NNP,Seen,VB,,,,,,,,,,,,,,,,,,,,,,,,
Drink,NNP,Frightening,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Hear,NNP,Forgetting,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Man,NNP,Build,VB,,,,,,,,,,,,,,,,,,,,,,,,
Pour,NNP,Stuck,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Duckin,NNP,Making,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Mount,NNP,Salute,VB,,,,,,,,,,,,,,,,,,,,,,,,
Christmas,NNP,Shoved,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Burners,NNS,Married,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Bad,NNP,Accumulated,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Pain,NN,Visiting,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Tire,NN,Snatch,VB,,,,,,,,,,,,,,,,,,,,,,,,
Mo,NNP,Pretend,VB,,,,,,,,,,,,,,,,,,,,,,,,
Fix,NNP,Call,VB,,,,,,,,,,,,,,,,,,,,,,,,
Nazareth,NNP,Running,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Promise,NN,Talented,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Cartoons,NNS,Run,VB,,,,,,,,,,,,,,,,,,,,,,,,
Sounwave,NNP,Acting,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Relocate,NNP,Manipulated,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Jimi,NNP,Go,VB,,,,,,,,,,,,,,,,,,,,,,,,
Knock,NNP,Play,VB,,,,,,,,,,,,,,,,,,,,,,,,
Retaliation,NN,Eating,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Crew,NNP,Walking,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Rock,NN,Looked,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Bitches,NNP,Spend,VB,,,,,,,,,,,,,,,,,,,,,,,,
Banks,NNS,King,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Sorry,NNP,Building,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Surround,NNP,Destroyed,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Barefoot,NNP,Excuse,VB,,,,,,,,,,,,,,,,,,,,,,,,
West,NNP,Hopping,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Reason,NNP,Need,VB,,,,,,,,,,,,,,,,,,,,,,,,
Thug,NNP,Enthused,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Swerve,NNP,Known,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Drop,NN,Hopped,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Marshmallows,NNP,Hide,VB,,,,,,,,,,,,,,,,,,,,,,,,
Granddaddy,NNP,Cause,VB,,,,,,,,,,,,,,,,,,,,,,,,
Yours,NNS,Nothing,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Hands,NNS,Let,VB,,,,,,,,,,,,,,,,,,,,,,,,
Suck,NNP,Come,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Nah,NNP,Darling,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Pimp,NNP,Crawled,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Walls,NNS,Bet,VB,,,,,,,,,,,,,,,,,,,,,,,,
Hood,NNP,Anything,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Lace,NNP,Crooked,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Cool,NNP,Show,VB,,,,,,,,,,,,,,,,,,,,,,,,
Pop,NNP,Listen,VB,,,,,,,,,,,,,,,,,,,,,,,,
Fancy,NNP,Telling,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Lightnin,NNP,Something,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Johnny,NNP,Produced,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Scholars,NNS,Introverted,VBN,,,,,,,,,,,,,,,,,,,,,,,,
CSI,NNP,Tossed,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Society,NN,Barricaded,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Fake,NNP,Keep,VB,,,,,,,,,,,,,,,,,,,,,,,,
Makin,NNP,Pay,VB,,,,,,,,,,,,,,,,,,,,,,,,
Sneak,NNP,Love,VB,,,,,,,,,,,,,,,,,,,,,,,,
Resuscitation,NN,Walked,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Are,NNP,Flying,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Lil,NNP,Be,VB,,,,,,,,,,,,,,,,,,,,,,,,
Visions,NNS,Dropped,VBD,,,,,,,,,,,,,,,,,,,,,,,,
Mass,NNP,Rush,VB,,,,,,,,,,,,,,,,,,,,,,,,
Blacks,NNS,Respect,VB,,,,,,,,,,,,,,,,,,,,,,,,
Aye,NNP,Told,VBD,,,,,,,,,,,,,,,,,,,,,,,,
Step,NN,Prophesize,VB,,,,,,,,,,,,,,,,,,,,,,,,
Schemin,NNP,Wrestling,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Mood,NNP,Serving,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Revertin,NNP,Looking,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Loyalty,NNP,Perfected,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Lovin,NNP,Gather,VB,,,,,,,,,,,,,,,,,,,,,,,,
Today,NN,Have,VBP,,,,,,,,,,,,,,,,,,,,,,,,
Great,NNP,Emerging,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm,NNP,Throw,VB,,,,,,,,,,,,,,,,,,,,,,,,
Please,NNP,Lift,VB,,,,,,,,,,,,,,,,,,,,,,,,
Mike,NNP,Worried,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Apple,NNP,Bitch,VB,,,,,,,,,,,,,,,,,,,,,,,,
Burnin,NNP,Hating,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Conversation,NN,Welcome,VB,,,,,,,,,,,,,,,,,,,,,,,,
Wan,NNP,Do,VB,,,,,,,,,,,,,,,,,,,,,,,,
Bitch,NNP,Describing,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Levitate,NNP,Whistling,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Projects,NNS,Happened,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Kunta,NNP,Spent,VB,,,,,,,,,,,,,,,,,,,,,,,,
